Year	m	d	Time	Prec	snow	tmp	maxtemp	mintmp
2016	1	2	00:00	-1	-1	-7	-5.5	-7.8
2016	1	3	00:00	3.2	-1	-8.7	-7.2	-10
2016	1	4	00:00	-1	4	-11.2	-4.9	-13.5
2016	1	5	00:00	0.6	4	-17.6	-13.3	-19.6
2016	1	6	00:00	-1	4	-20.3	-16.4	-21.3
2016	1	7	00:00	-1	4	-22.7	-20.7	-23.7
2016	1	8	00:00	0.5	4	-16.5	-9.8	-23.9
2016	1	9	00:00	0.5	6	-10.5	-8.2	-11.9
2016	1	10	00:00	0.3	11	-11.3	-10.7	-13.1
2016	1	11	00:00	10.9	11	-6.4	-5.6	-11
2016	1	12	00:00	4.6	21	-7.4	-4.8	-8.8
2016	1	13	00:00	1.1	28	-10.3	-7.8	-11
2016	1	14	00:00	-1	25	-12.7	-10.9	-13.5
2016	1	15	00:00	0.1	22	-10.4	-6.6	-16.4
2016	1	16	00:00	-1	20	-14.3	-8.9	-17.1
2016	1	17	00:00	1	19	-11.2	-7.4	-16.1
2016	1	18	00:00	2	21	-13.3	-11.6	-16.9
2016	1	19	00:00	-1	23	-11.9	-10.4	-12.8
2016	1	20	00:00	0.2	21	-15.9	-12.7	-17.6
2016	1	21	00:00	-1	21	-16	-12	-20.1
2016	1	22	00:00	-1	20	-17.8	-13.4	-22.8
2016	1	23	00:00	1	20	-3.1	-1.5	-13.4
2016	1	24	00:00	6.2	21	-2.1	-1	-2.8
2016	1	25	00:00	3.4	31	-2.1	-0.7	-3.3
2016	1	26	00:00	6.7	32	1	3.2	-2.9
2016	1	27	00:00	5.2	21	1.9	3	0.8
2016	1	28	00:00	2.1	13	2.2	3.4	1.2
2016	1	29	00:00	1.9	10	1.4	3.1	-0.2
2016	1	30	00:00	0.2	6	3.8	4.7	1.8
2016	1	31	00:00	0.1	2	1.7	3.9	1
2016	2	1	00:00	4.3	2	0.6	1.7	-1.4
2016	2	2	00:00	4.9	5	1.4	2.8	0
2016	2	3	00:00	1	8	-1.6	2	-4.1
2016	2	4	00:00	0.1	9	-1	0.8	-3.6
2016	2	5	00:00	-1	8	-2.3	0.3	-4.8
2016	2	6	00:00	4.3	7	-2	1.1	-8.9
2016	2	7	00:00	0.2	4	2.3	2.8	1.1
2016	2	8	00:00	4.9	0	2.1	3.1	0.7
2016	2	9	00:00	2.9	-1	3.1	4.1	2.2
2016	2	10	00:00	14.3	-1	3	3.7	2.1
2016	2	11	00:00	10.1	-1	2.5	3.9	2.2
2016	2	12	00:00	2.2	0	1	2.3	0.3
2016	2	13	00:00	6.3	0	1	1.9	0.1
2016	2	14	00:00	2.1	3	0.6	1.6	0.3
2016	2	15	00:00	-1	2	0.4	2.5	-0.5
2016	2	16	00:00	-1	2	-2	0.8	-4.4
2016	2	17	00:00	-1	2	0.5	2.8	-3.5
2016	2	18	00:00	2.1	2	0.3	1.4	-0.9
2016	2	19	00:00	2.9	2	0.8	1.5	0.5
2016	2	20	00:00	6.9	4	0.4	0.9	0.2
2016	2	21	00:00	3.6	7	0.7	1.2	0.2
2016	2	22	00:00	0.2	6	0.6	1.6	0
2016	2	23	00:00	0.1	6	-0.3	1.2	-1.2
2016	2	24	00:00	-1	6	1	2	-1.9
2016	2	25	00:00	1.1	6	1.6	2.1	1
2016	2	26	00:00	1.1	6	-0.6	1.8	-2.5
2016	2	27	00:00	-1	7	-2.2	0.4	-5.6
2016	2	28	00:00	-1	7	1	3.5	-0.8
2016	2	29	00:00	-1	7	-2.8	0.4	-7.8
2016	3	1	00:00	-1	7	-0.8	0.6	-3.1
2016	3	2	00:00	-1	7	-3.5	-0.8	-6.3
2016	3	3	00:00	-1	7	-1.9	-0.6	-3.2
2016	3	4	00:00	-1	7	0.2	1.4	-0.6
2016	3	5	00:00	0.1	7	0.4	1.4	-0.3
2016	3	6	00:00	1.3	7	0.7	0.9	0.5
2016	3	7	00:00	4.1	7	1.3	2.6	0.4
2016	3	8	00:00	3.1	7	1.3	2.9	0.8
2016	3	9	00:00	-1	7	1.2	1.9	0.4
2016	3	10	00:00	-1	6	0.6	1.9	-0.5
2016	3	11	00:00	-1	5	-0.2	2.4	-1
2016	3	12	00:00	-1	4	0.5	5.6	-3.7
2016	3	13	00:00	-1	5	-0.3	2.9	-2.7
2016	3	14	00:00	-1	5	2.5	5.8	-0.4
2016	3	15	00:00	-1	3	2.1	4	1.2
2016	3	16	00:00	-1	0	4.5	8.7	1.3
2016	3	17	00:00	4.5	-1	4.2	8.4	1.6
2016	3	18	00:00	-1	3	-2.5	4.2	-4
2016	3	19	00:00	-1	2	-3	1.1	-6.9
2016	3	20	00:00	0.3	2	-2.3	1.5	-6.8
2016	3	21	00:00	-1	0	-1.4	1	-2.4
2016	3	22	00:00	-1	0	-2.5	0.7	-7
2016	3	23	00:00	-1	0	0.2	1.9	-1.8
2016	3	24	00:00	-1	0	0.8	1.7	-0.4
2016	3	25	00:00	0.2	-1	2	3.1	1
2016	3	26	00:00	-1	-1	2.2	3.1	1.7
2016	3	27	00:00	-1	-1	3.2	7.5	1
2016	3	28	00:00	-1	-1	5.3	9.7	2.5
2016	3	29	00:00	-1	-1	5.9	8.3	2.7
2016	3	30	00:00	-1	-1	3.4	7.1	1.3
2016	3	31	00:00	-1	-1	2.4	7.5	-1.2
2016	4	1	00:00	-1	-1	3.1	6.9	0.3
2016	4	2	00:00	4.2	-1	4.4	10	-0.6
2016	4	3	00:00	1	-1	3.3	4.8	2.2
2016	4	4	00:00	-1	-1	1.9	5.2	-1.1
2016	4	5	00:00	1	-1	3.4	5.3	0.9
2016	4	6	00:00	4.8	-1	6.6	11.9	3.1
